,date,url,filing,filers_name,title
28,09/18/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/734B7FBEF5068E9085258754002C2767/$FILE/Sherman EA Certification with OGE statement.pdf,"Sherman, Wendy R",Department of State,Deputy Secretary
29,09/15/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/AA89EC37942F4C3885258751002C22D0/$FILE/Inglis EA Certification 1 of 1.pdf,"Inglis, John C",Office of the National Cyber Director,Director
30,09/14/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/4663AF18F81DFE6785258750002E5623/$FILE/John-C-Inglis-09.09.2021-278T.pdf,"Inglis, John C",Office of the National Cyber Director,Director
31,09/14/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/FFA1CDBFB3B9E0BE85258750002E5621/$FILE/John-C-Inglis-09.08.2021-278T.pdf,"Inglis, John C",Office of the National Cyber Director,Director
32,09/14/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/FD54C77633EEF27385258750002E5457/$FILE/Deanne-Criswell-09.06.2021-278T.pdf,"Criswell, Deanne",Department of Homeland Security,"Administrator, Federal Emergency Management Agency"
33,09/08/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/56E9925D4A691F508525874A002E586E/$FILE/Eric-S-Lander-08.25.2021-278T.pdf,"Lander, Eric S",Office of Science and Technology Policy,Director
34,09/08/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B60B3A50D1966CA58525874A002E54D5/$FILE/Deanne-Criswell-08.23.2021-278T.pdf,"Criswell, Deanne",Department of Homeland Security,"Administrator, Federal Emergency Management Agency"
35,08/31/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/3901FD3C2867378785258742002E5B72/$FILE/Wendy-R-Sherman-08.22.2021-278T.pdf,"Sherman, Wendy R",Department of State,Deputy Secretary
36,08/31/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/C829902794BE0A4A85258742002E554A/$FILE/Nuria-Fernandez-07.29.2021-278T.pdf,"Fernandez, Nuria",Department of Transportation,"Administrator, Federal Transit Administration"
37,08/31/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/706D50AB594C0CB985258742002E54E3/$FILE/Stacey-Dixon-08.24.2021-278T.pdf,"Dixon, Stacey",Office of Director of National Intelligence,Principal Deputy Director of National Intelligence
38,08/31/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E19691CF6317598D85258742002E54E1/$FILE/Stacey-Dixon-08.24.2021-278T(1).pdf,"Dixon, Stacey",Office of Director of National Intelligence,Principal Deputy Director of National Intelligence
39,08/31/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/93FDEB99F2A1DF7E85258742002E548A/$FILE/Deanne-Criswell-08.10.2021-278T.pdf,"Criswell, Deanne",Department of Homeland Security,"Administrator, Federal Emergency Management Agency"
40,08/28/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/9431D6AE3A5AF0EF8525873F002E5A96/$FILE/Wendy-R-Sherman-08.13.2021-278T.pdf,"Sherman, Wendy R",Department of State,Deputy Secretary
41,08/28/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/911F5BE8526F535E8525873F002E5981/$FILE/Samantha-Powers-07.29.2021-278T.pdf,"Power, Samantha",Agency for International Development (AID),Administrator
42,08/28/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/99ACF95C8C2D51858525873F002E592E/$FILE/Andrea-Palm-08.06.2021-278T.pdf,"Palm, Andrea",Department of Health and Human Services,Deputy Secretary
43,08/28/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B3C7A01A45B57C408525873F002E553D/$FILE/Merrick-B-Garland-08.09.2021-278T.pdf,"Garland, Merrick B",Department of Justice,Attorney General
44,08/28/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/AE01276632D6DB948525873F002E548E/$FILE/Stacy-Dixon-08.12.2021-278T.pdf,"Dixon, Stacey",Office of Director of National Intelligence,Principal Deputy Director of National Intelligence
45,08/28/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/0F5804D5602396ED8525873F002C2356/$FILE/Lander EA Certification 1 of 1.pdf,"Lander, Eric S",Office of Science and Technology Policy,Director
46,08/28/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/D2ECCB17042E6CC58525873F002C2164/$FILE/Dixon EA Certfication 1 of 1.pdf,"Dixon, Stacey",Office of Director of National Intelligence,Principal Deputy Director of National Intelligence
47,08/27/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/FF8AE2A3F654323E8525873E002E5A9B/$FILE/Wendy-R-Sherman-07.16.2021-278T.pdf,"Sherman, Wendy R",Department of State,Deputy Secretary
48,08/27/2021,https://extapps2.oge.gov/201/Presiden.nsf/201 Request?OpenForm&Filer=Del Toro,"Del Toro, Carlos",Department of The Navy,Secretary
49,08/26/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/AC295932689DD3558525873D002E5502/$FILE/Nuria-Fernandez-07.07.2021-278T.pdf,"Fernandez, Nuria",Department of Transportation,"Administrator, Federal Transit Administration"
50,08/20/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/510744C9575E722285258737002C1AF5/$FILE/J Su EA Certification 1 of 1.pdf,"Su, Julie",Department of Labor,Deputy Secretary
51,08/18/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/C9A5D86474A7CEFE85258735002E4AB2/$FILE/Deanne-Chriswell-08.05.2021-278T.pdf,"Criswell, Deanne",Department of Homeland Security,"Administrator, Federal Emergency Management Agency"
52,08/14/2021,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/18A0B3E48EA23B4C85258731002E5293/$FILE/Valdez, William  final278.pdf","Valdez, William",Department of Homeland Security,Under Secretary for Management
53,08/12/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/C75146035769E1FA8525872F002C1CA2/$FILE/Marten EA Certification 1 of 1.pdf,"Marten, Cynthia",Department of Education,Deputy Secretary
54,08/06/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/111E61C2EA4C52C685258729002E4ADB/$FILE/Sethuraman-Panchanathan-2021-278.pdf,"Panchanathan, Sethuraman",National Science Foundation,Director
55,08/06/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E3081D0C36020A7D85258729002E4A66/$FILE/Lisa-O-Monaco-07.26.2021-278T.pdf,"Monaco, Lisa O",Department of Justice,Deputy Attorney General
56,08/06/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A6C3F0CB8728E61585258729002E445D/$FILE/Lael-Brainard-2021-278.pdf,"Brainard, Lael",Federal Reserve System Board of Governors,Governor
57,08/06/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/BC471AE10597B73685258729002C1372/$FILE/Jason Miller EA Certification 1 of 1.pdf,"Miller, Jason S",Office of Management and Budget,Deputy Director for Management
58,07/28/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E044CFC77E17905585258720002C1B7C/$FILE/Power ADMIN Certification 1 of 1.pdf,"Power, Samantha",Agency for International Development (AID),Administrator
59,07/28/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B4B1039C51F3045285258720002C1A74/$FILE/Monaco EA Certification 1 of 1.pdf,"Monaco, Lisa O",Department of Justice,Deputy Attorney General
60,07/27/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/AD6EEF291D05C71C8525871F002E52A8/$FILE/Andrew-Saul-07.08.2021-278T.pdf,"Saul, Andrew",Social Security Administration,Commissioner
61,07/27/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/9C516B0864B699408525871F002E5073/$FILE/Clarence-W-Nelson-06.29.2021-278T.pdf,"Nelson, Clarence W",National Aeronautics and Space Administration,Administrator
62,07/27/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/CDD49294C61FB9228525871F002E5071/$FILE/Clarence-W-Nelson-07.20.2021-278T.pdf,"Nelson, Clarence W",National Aeronautics and Space Administration,Administrator
63,07/27/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/3A536202B097C8208525871F002E4A3B/$FILE/Mark-Calabria-2021-278TERM.pdf,"Calabria, Mark",Federal Housing Finance Agency,Director
64,07/23/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/0233C8B2AE6973628525871B002C15E6/$FILE/Tien EA Certification 1 of 1.pdf,"Tien, John",Department of Homeland Security,Deputy Secretary
65,07/23/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/EE2AE0F6E0E0ABDF8525871B002C114C/$FILE/Fernandez EA Certification 1 of 1.pdf,"Fernandez, Nuria",Department of Transportation,"Administrator, Federal Transit Administration"
66,07/23/2021,https://extapps2.oge.gov/201/Presiden.nsf/201 Request?OpenForm&Filer=Inglis,"Inglis, John C",Office of the National Cyber Director,Director
67,07/22/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/04FA98DDD54E5C408525871A002E4A53/$FILE/Jason-S-Miller-07.07.2021-278T.pdf,"Miller, Jason S",Office of Management and Budget,Deputy Director
68,07/22/2021,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/67CB494CDBB552608525871A002E4648/$FILE/Gupta, Rahul  final278.pdf","Gupta, Rahul",Office of National Drug Control Policy,Director
69,07/22/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E83DB6D3037FB0858525871A002E45CF/$FILE/Merrick-B-Garland-07.02.2021-278T.pdf,"Garland, Merrick B",Department of Justice,Attorney General
70,07/22/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/686B231BEFAA7FB28525871A002C15F0/$FILE/Nelson EA Certification 1 of 1.pdf,"Nelson, Clarence W",National Aeronautics and Space Administration,Administrator
71,07/20/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/D3BCC865EF5E39F585258718002E4AA5/$FILE/Wendy-R-Sherman-06.07.2021-278T.pdf,"Sherman, Wendy R",Department of State,Deputy Secretary
72,07/20/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/1A3BD00F7AC33A6385258718002E4AA3/$FILE/Wendy-R-Sherman-06.07.2021-278T.pdf,"Sherman, Wendy R",Department of State,Deputy Secretary
73,07/16/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/06EF4622296452CF85258714002C0EB8/$FILE/C. Abizaid EA Certification 1 of 1.pdf,"Abizaid, Christine",Office of Director of National Intelligence,"Director, National Counterterrorism Center"
74,07/14/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/1506D02637A4A17785258712002C0E91/$FILE/Ahuja EA Certification 1 of 1.pdf,"Ahuja, Kiran",Office of Personnel Management,Director
75,07/13/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B82563BFF400840C85258711002E4A7D/$FILE/Andrew-Saul-06.04.2021-278T.pdf,"Saul, Andrew",Social Security Administration,Commissioner
76,07/13/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/98871DB3626C74DF85258711002E4A7A/$FILE/Andrew-Saul-2021-278.pdf,"Saul, Andrew",Social Security Administration,Commissioner
77,07/13/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/0A68343DB55A386785258711002E42FE/$FILE/Mark-Calabria-2021-278.pdf,"Calabria, Mark",Federal Housing Finance Agency,Director
78,07/13/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/ED2CFB66004BF9D085258711002E41EB/$FILE/Adewale-Adeyemo-05.31.2021-278T.pdf,"Adeyemo, Adewale",Department of The Treasury,Deputy Secretary
79,07/08/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5964F960B18981738525870C002C1CED/$FILE/Trottenberg EA Certification 1 of 1.pdf,"Trottenberg, Polly",Department of Transportation,Deputy Secretary
80,07/08/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/CAA948417C8994C38525870C002C1218/$FILE/Bronaugh EA Certification 1 of 1.pdf,"Bronaugh, Jewel",Department of Agriculture,Deputy Secretary
81,07/02/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/CB2E54551425A38D85258706002C2439/$FILE/Criswell EA Certification 1 of 1.pdf,"Criswell, Deanne",Department of Homeland Security,"Administrator, Federal Emergency Management Agency"
82,07/02/2021,https://extapps2.oge.gov/201/Presiden.nsf/201 Request?OpenForm&Filer=Nelson,"Nelson, Clarence W",National Aeronautics and Space Administration,Administrator
83,07/01/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/EB16EE767CFA9E7A85258705002C2978/$FILE/Secretary WALSH EA Certification 1 of 1.pdf,"Walsh, Martin J",Department of Labor,Secretary
84,07/01/2021,https://extapps2.oge.gov/201/Presiden.nsf/201 Request?OpenForm&Filer=Monaco,"Monaco, Lisa O",Department of Justice,Deputy Attorney General
85,06/30/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/presiden.nsf/PAS+Index/8ED3CAC49E9C554185258704002E5570/$FILE/Stephen-Dickson-2021-278.pdf,"Dickson, Stephen",Department of Transportation,"Administrator, Federal Aviation Administration"
86,06/30/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/presiden.nsf/PAS+Index/342115BA4CBD373F85258704002E53EE/$FILE/David-F-Black-2021-278.pdf,"Black, David F",Social Security Administration,Deputy Commissioner
87,06/27/2021,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/presiden.nsf/PAS+Index/8855C1595FD53D1785258701002E549A/$FILE/Del Toro, Carlos  final278.pdf","Del Toro, Carlos",Department of The Navy,Secretary
88,06/25/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/96DE3E4D96FC26EA852586FF002C21D5/$FILE/Adeyemo EA Certification 1 of 1.pdf,"Adeyemo, Adewale",Department of The Treasury,Deputy Secretary
89,06/24/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A8F93DD90CB579A7852586FE002C2693/$FILE/TURK EA Certification 1 of 1.pdf,"Turk, David",Department of Energy,Deputy Secretary
90,06/24/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/4B6D7BBCD29D8BB4852586FE002C2629/$FILE/TODMAN  HUD EA Certification 1 of 1.pdf,"Todman, Adrianne",Department of Housing and Urban Development,Deputy Secretary
91,06/23/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/86422A5B4586686E852586FD002C1F9C/$FILE/Sec Becerra HHS EA Certification 1 of 1.pdf,"Becerra, Xavier",Department of Health and Human Services,Secretary
92,06/23/2021,https://extapps2.oge.gov/201/Presiden.nsf/201 Request?OpenForm&Filer=Palm,"Palm, Andrea",Department of Health and Human Services,Deputy Secretary
93,06/18/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/835C6755FD74001E852586F8002C279E/$FILE/Wormuth EA Certification 1 of 1.pdf,"Wormuth, Christine E",Department of The Army,Secretary
94,06/16/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/presiden.nsf/PAS+Index/6E49C5CE8DAB31B3852586F6002E6634/$FILE/Cecilia-Rouse-05.24.2021-278T.pdf,"Rouse, Cecilia",Council of Economic Advisers,Member & Chairman
95,06/12/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/presiden.nsf/PAS+Index/3EF900744D4FBBFF852586F2002E556C/$FILE/Elaine-L-Chao-2021-278TERM.pdf,"Chao, Elaine L",Department of Transportation,Secretary
96,06/10/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E737A0FD461514C7852586F0002C235E/$FILE/Garland EA Certification 1 of 1.pdf,"Garland, Merrick B",Department of Justice,Attorney General
97,06/08/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/presiden.nsf/PAS+Index/29C694A6D8689DBD852586EE002E5A07/$FILE/Wilbur-L-Ross-2021-278TERM.pdf,"Ross, Wilbur L",Department of Commerce,Secretary
98,06/08/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/presiden.nsf/PAS+Index/CBBE1A43A2204467852586EE002E5888/$FILE/Steven-T-Mnuchin-2021-278TERM.pdf,"Mnuchin, Steven T",Department of The Treasury,Secretary
99,06/04/2021,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/6EFF376F133220BF852586EA002C178F/$FILE/Waller, Christopher EA CERT.pdf","Waller, Christopher J",Federal Reserve System Board of Governors,Governor
100,06/04/2021,https://extapps2.oge.gov/201/Presiden.nsf/201 Request?OpenForm&Filer=Lander,"Lander, Eric S",Office of Science and Technology Policy,Director
101,06/02/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/presiden.nsf/PAS+Index/9D3DA43B0D758BDF852586E8002E4C7D/$FILE/Andrew-Saul-05.07.2021-278T.pdf,"Saul, Andrew",Social Security Administration,Commissioner
102,06/02/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/presiden.nsf/PAS+Index/32A371DBD8A3C54C852586E8002E4AAB/$FILE/Denis-R-McDonough-05.14.2021-278T.pdf,"McDonough, Denis R",Department of Veterans Affairs,Secretary
103,06/02/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/presiden.nsf/PAS+Index/4E34FDAA1347092F852586E8002E4805/$FILE/Jennifer-Granholm-05.26.2021-278T.pdf,"Granholm, Jennifer",Department of Energy,Secretary
104,06/02/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/D7F8E0C20B6B0520852586E8002C16EA/$FILE/Rouse EA Certification 1 of 1.pdf,"Rouse, Cecilia",Council of Economic Advisers,Member & Chairman
105,06/01/2021,https://extapps2.oge.gov/201/Presiden.nsf/201 Request?OpenForm&Filer=Power,"Power, Samantha",Agency for International Development (AID),Administrator
106,05/29/2021,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/presiden.nsf/PAS+Index/B8A14EE915C99884852586E4002E4895/$FILE/Inglis, John C.  final278.pdf","Inglis, John C",Office of the National Cyber Director,Director
107,05/28/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/FF274D01CBD4EB61852586E3002C14C9/$FILE/Granholm EA Certification 1 of 1.pdf,"Granholm, Jennifer",Department of Energy,Secretary
108,05/25/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/presiden.nsf/PAS+Index/83BD8F456E035DAE852586E0002E4861/$FILE/Eric-D-Hargan-2021-278TERM.pdf,"Hargan, Eric D.",Department of Health and Human Services,Deputy Secretary
109,05/22/2021,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/presiden.nsf/PAS+Index/2BB8EA8EDCAB825A852586DD002E522B/$FILE/Kendall, Frank  final278.pdf","Kendall, Frank",Department of The Air Force,Secretary
110,05/22/2021,https://extapps2.oge.gov/201/Presiden.nsf/201 Request?OpenForm&Filer=Garland,"Garland, Merrick B",Department of Justice,Attorney General
111,05/18/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/presiden.nsf/PAS+Index/06F79374D20480FD852586D9002EC767/$FILE/Jerome-H-Powell-2021-278.pdf,"Powell, Jerome H",Federal Reserve System Board of Governors,Governor 3
